id,data,cliente_id,tipo,valor,descricao,categoria
1,2026-01-05,CLI001,credito,3500.00,Salário janeiro,salario
2,2026-01-08,CLI002,debito,180.50,Compra supermercado,compra
3,2026-01-12,CLI001,debito,250.00,Conta de energia,conta
4,2026-01-20,CLI003,credito,12500.00,Transferência recebida,transferencia
5,2026-02-03,CLI002,credito,4200.00,Salário fevereiro,salario
6,2026-02-07,CLI003,debito,320.00,Conta de internet,conta
7,2026-02-14,CLI004,credito,15000.00,Transferência internacional,transferencia
8,2026-02-18,CLI001,debito,99.90,Assinatura streaming,assinatura
9,2026-03-01,CLI001,credito,3500.00,Salário março,salario
10,2026-03-05,CLI002,debito,850.00,Pagamento aluguel,moradia
11,2026-03-10,CLI003,debito,145.75,Compra farmácia,saude
12,2026-03-18,CLI004,credito,2800.00,Pagamento de serviço,servico
13,2026-04-02,CLI002,credito,4300.00,Salário abril,salario
14,2026-04-10,CLI003,debito,1200.00,Compra de equipamento,compra
15,2026-04-22,CLI005,credito,18000.00,Investimento recebido,investimento
ABC,2026-01-25,CLI001,debito,100.00,Identificador inválido,compra
17,2026-02-10,,debito,200.00,Cliente não informado,transferencia
18,10-03-2026,CLI003,credito,500.00,Data inválida,servico
19,2026-03-20,CLI004,pagamento,300.00,Tipo inválido,conta
20,2026-04-15,CLI005,debito,abc,Valor inválido,compra